Operator,Indoor_Outdoor_Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Vodafone,Indoor,4G,5,Satisfactory,28.6190351,77.4252032,Uttar Pradesh
RJio,Outdoor,4G,1,Poor Voice Quality,20.82244168,85.28371866,Odisha
Airtel,Indoor,Unknown,2,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
Airtel,Indoor,2G,2,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
BSNL,Outdoor,4G,4,Satisfactory,10.48786216,76.96689751,Tamil Nadu
Airtel,Indoor,Unknown,2,Poor Voice Quality,19.28426494,72.94790689,Maharashtra
Airtel,Indoor,Unknown,2,Poor Voice Quality,19.28426494,72.94790689,Maharashtra
Airtel,Indoor,Unknown,2,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
Airtel,Indoor,2G,2,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
Airtel,Travelling,3G,1,Call Dropped,19.11228542,72.91005411,Maharashtra
Airtel,Outdoor,3G,2,Poor Voice Quality,19.28426494,72.94790689,Maharashtra
Airtel,Outdoor,4G,3,Poor Voice Quality,19.28426494,72.94790689,Maharashtra
Airtel,Outdoor,3G,4,Satisfactory,19.28426494,72.94790689,Maharashtra
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,26.8585556,80.8897361,Uttar Pradesh
Vodafone,Indoor,4G,4,Satisfactory,30.32295333,78.00180333,Uttarakhand
RJio,Indoor,4G,3,Satisfactory,10.879255,79.10390667,Tamil Nadu
Airtel,Indoor,4G,4,Satisfactory,22.27988176,73.14951421,Gujarat
Airtel,Outdoor,4G,5,Satisfactory,19.38287451,72.83207183,Maharashtra
Vodafone,Indoor,4G,4,Satisfactory,12.9690637,77.5345337,Karnataka
RJio,Indoor,4G,1,Call Dropped,0,0,NA
RJio,Indoor,4G,1,Call Dropped,0,0,NA
RJio,Indoor,4G,2,Call Dropped,0,0,NA
RJio,Indoor,4G,2,Call Dropped,0,0,NA
RJio,Indoor,4G,2,Call Dropped,0,0,NA
RJio,Indoor,4G,2,Call Dropped,0,0,NA
RJio,Indoor,4G,2,Call Dropped,0,0,NA
Airtel,Indoor,3G,5,Satisfactory,11.0480846,76.9929274,Tamil Nadu
Airtel,Indoor,2G,1,Poor Voice Quality,-1,-1,NA
BSNL,Indoor,Unknown,4,Satisfactory,29.61511985,78.34108477,Uttar Pradesh
RJio,Indoor,4G,1,Call Dropped,0,0,NA
Airtel,Indoor,4G,4,Satisfactory,22.27988514,73.14964507,Gujarat
Airtel,Indoor,4G,3,Poor Voice Quality,26.1246663,85.3859844,Bihar
RJio,Indoor,4G,1,Call Dropped,19.0422993,72.871671,Maharashtra
RJio,Indoor,4G,4,Satisfactory,18.6260041,73.7810638,Maharashtra
BSNL,Indoor,Unknown,4,Satisfactory,29.61511985,78.34108477,Uttar Pradesh
Vodafone,Indoor,4G,3,Satisfactory,28.5302912,77.4144334,Uttar Pradesh
RJio,Indoor,Unknown,4,Satisfactory,26.8585556,80.8897361,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,3G,2,Poor Voice Quality,17.3682324,78.5182238,Telangana
BSNL,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,28.63875975,77.34042442,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,30.82706833,76.93161667,Himachal Pradesh
RJio,Indoor,4G,4,Satisfactory,28.94241866,77.71872771,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,28.9424539,77.71882897,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,28.94249054,77.71872659,Uttar Pradesh
Idea,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Idea,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,4G,5,Satisfactory,28.6190499,77.4252823,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,28.6190499,77.4252823,Uttar Pradesh
Airtel,Indoor,4G,3,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,28.63875975,77.34042442,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,28.63841859,77.34007437,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,0,0,NA
Telenor,Indoor,3G,2,Poor Voice Quality,19.69888833,72.77088833,Maharashtra
Airtel,Indoor,Unknown,5,Satisfactory,26.8594063,80.8871662,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,28.58042077,76.99452418,NCT
RJio,Outdoor,4G,1,Poor Voice Quality,28.58042077,76.99452418,NCT
RJio,Indoor,4G,1,Poor Voice Quality,28.58042077,76.99452418,NCT
RJio,Indoor,4G,2,Poor Voice Quality,28.59083548,76.99696921,NCT
RJio,Indoor,4G,2,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Indoor,4G,2,Poor Voice Quality,28.50131337,77.39808251,Uttar Pradesh
Airtel,Outdoor,4G,4,Satisfactory,28.64279876,77.34019922,Uttar Pradesh
BSNL,Indoor,4G,5,Satisfactory,11.36568,77.7486563,Tamil Nadu
BSNL,Indoor,2G,1,Poor Voice Quality,19.18567893,72.79687123,Maharashtra
BSNL,Outdoor,2G,4,Satisfactory,19.13071234,73.01669412,Maharashtra
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Outdoor,4G,4,Satisfactory,20.66947205,75.34942186,Maharashtra
RJio,Travelling,4G,4,Satisfactory,20.73442962,75.38782181,Maharashtra
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Travelling,4G,4,Satisfactory,28.64677629,77.33296358,Uttar Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,3G,4,Satisfactory,28.6355578,77.0292794,NCT
Airtel,Outdoor,4G,4,Satisfactory,28.6372442,77.0281998,NCT
Airtel,Travelling,3G,4,Satisfactory,28.6358463,77.0285597,NCT
Airtel,Indoor,3G,3,Poor Voice Quality,28.6358463,77.0285597,NCT
Airtel,Indoor,3G,4,Satisfactory,28.6374977,77.0271202,NCT
Airtel,Indoor,3G,4,Satisfactory,23.34765984,85.29375301,Jharkhand
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.521446,77.08205245,Haryana
BSNL,Outdoor,3G,2,Poor Voice Quality,17.6220354,83.1911914,Andhra Pradesh
Vodafone,Travelling,Unknown,5,Satisfactory,28.6096329,77.3335242,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,19.19684739,73.00001402,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,3,Poor Voice Quality,-1,-1,NA
BSNL,Outdoor,3G,4,Satisfactory,-1,-1,NA
Tata,Indoor,Unknown,5,Satisfactory,12.967223,77.5425645,Karnataka
Tata,Indoor,Unknown,5,Satisfactory,12.96844353,77.54303098,Karnataka
Tata,Indoor,Unknown,5,Satisfactory,12.967223,77.5425645,Karnataka
Tata,Indoor,Unknown,5,Satisfactory,12.96844353,77.54303098,Karnataka
RJio,Indoor,4G,2,Poor Voice Quality,28.521446,77.08205245,Haryana
Vodafone,Indoor,Unknown,3,Satisfactory,13.01072068,77.66805645,Karnataka
Airtel,Travelling,4G,2,Call Dropped,16.828525,75.83944667,Karnataka
Airtel,Indoor,Unknown,3,Satisfactory,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,2,Poor Voice Quality,22.54453262,88.35232323,West Bengal
RJio,Indoor,4G,3,Poor Voice Quality,22.54453262,88.35232323,West Bengal
Airtel,Travelling,Unknown,1,Poor Voice Quality,22.56080258,88.34833489,West Bengal
Airtel,Travelling,Unknown,2,Poor Voice Quality,22.56080258,88.34833489,West Bengal
RJio,Outdoor,4G,3,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,1,Poor Voice Quality,23.5768397,87.2778422,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.4727645,78.3857241,Telangana
Airtel,Indoor,3G,1,Poor Voice Quality,16.971392,82.2410574,Andhra Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,28.521446,77.08205245,Haryana
RJio,Outdoor,4G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,30.7343069,76.7449443,Chandigarh
Airtel,Outdoor,4G,4,Satisfactory,12.86890864,77.65389405,Karnataka
RJio,Indoor,4G,1,Poor Voice Quality,17.4724368,78.3840449,Telangana
Idea,Indoor,3G,4,Satisfactory,17.3541061,78.4186987,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.4724368,78.3840449,Telangana
Vodafone,Indoor,4G,4,Satisfactory,22.32927184,73.21232281,Gujarat
RJio,Outdoor,4G,3,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,22.671465,88.33667167,West Bengal
RJio,Indoor,4G,4,Satisfactory,22.67302833,88.35051333,West Bengal
BSNL,Outdoor,3G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,4G,1,Poor Voice Quality,19.2149531,72.8759051,Maharashtra
RJio,Indoor,4G,5,Satisfactory,11.36571825,77.74855153,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,12.93774579,77.62529501,Karnataka
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
BSNL,Outdoor,4G,4,Satisfactory,10.49047299,76.96581451,Tamil Nadu
RJio,Outdoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Outdoor,3G,4,Satisfactory,12.93774579,77.62529501,Karnataka
RJio,Indoor,4G,5,Satisfactory,30.73439669,76.74507633,Chandigarh
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,4,Satisfactory,11.2422009,77.2331508,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,11.2422009,77.2331508,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,3G,5,Satisfactory,28.64645203,77.34760429,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,3G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,22.70596216,75.90605932,Madhya Pradesh
RJio,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,19.04699231,72.86349618,Maharashtra
Airtel,Outdoor,4G,4,Satisfactory,12.93774579,77.62529501,Karnataka
Airtel,Indoor,3G,2,Call Dropped,17.5246657,78.5107781,Telangana
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,17.47485951,78.36474355,Telangana
RJio,Indoor,4G,4,Satisfactory,26.8886395,75.7246105,Rajasthan
Airtel,Indoor,3G,3,Poor Voice Quality,22.5680058,88.3499159,West Bengal
RJio,Indoor,4G,5,Satisfactory,13.07137519,80.18755594,Tamil Nadu
Idea,Indoor,3G,5,Satisfactory,21.0909163,79.0547564,Maharashtra
Idea,Outdoor,Unknown,4,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,23.203385,80.0058077,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,11.36571825,77.74855153,Tamil Nadu
Tata,Indoor,Unknown,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,20.3095938,85.8190777,Odisha
BSNL,Travelling,2G,4,Satisfactory,20.43786803,85.88810999,Odisha
RJio,Indoor,4G,1,Poor Voice Quality,17.4733227,78.3856119,Telangana
Airtel,Indoor,3G,1,Poor Voice Quality,28.496036,77.3046022,Haryana
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,25.15119146,73.12486748,Rajasthan
RJio,Indoor,4G,4,Satisfactory,25.1512433,73.1251698,Rajasthan
RJio,Indoor,4G,4,Satisfactory,25.1512433,73.1251698,Rajasthan
RJio,Indoor,4G,4,Satisfactory,19.0441431,72.864254,Maharashtra
Idea,Outdoor,4G,5,Satisfactory,17.3848921,78.47669899,Telangana
Vodafone,Travelling,4G,4,Satisfactory,19.28505011,73.06152206,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.0441359,72.8642661,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.04699231,72.86349618,Maharashtra
RJio,Travelling,4G,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,5,Satisfactory,17.4254343,78.5365349,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.4733227,78.3856119,Telangana
BSNL,Indoor,Unknown,2,Poor Voice Quality,26.8491544,80.956541,Uttar Pradesh
Vodafone,Outdoor,Unknown,5,Satisfactory,17.3848921,78.47669899,Telangana
RJio,Travelling,4G,5,Satisfactory,17.43896845,78.39669025,Telangana
Airtel,Outdoor,3G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,3,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,4G,3,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,26.9629216,75.7763622,Rajasthan
Vodafone,Indoor,3G,5,Satisfactory,28.50414076,77.17663835,NCT
Airtel,Outdoor,3G,4,Satisfactory,28.6368812,77.0287669,NCT
RJio,Outdoor,4G,4,Satisfactory,28.56697457,77.34604665,Uttar Pradesh
BSNL,Indoor,3G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,28.56697457,77.34604665,Uttar Pradesh
Vodafone,Indoor,4G,5,Satisfactory,19.20699802,73.00250715,Maharashtra
Vodafone,Outdoor,3G,1,Poor Voice Quality,19.21499441,72.87541611,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,22.4935518,88.383958,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.4733227,78.3856119,Telangana
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,3G,4,Satisfactory,28.6382899,77.0264184,NCT
Airtel,Indoor,2G,2,Call Dropped,17.47485951,78.36474355,Telangana
Idea,Outdoor,Unknown,5,Satisfactory,18.50579333,73.81570833,Maharashtra
RJio,Travelling,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
BSNL,Travelling,3G,5,Satisfactory,22.46502949,88.38091588,West Bengal
Vodafone,Indoor,Unknown,4,Satisfactory,22.24252348,73.26903754,Gujarat
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,18.73392071,73.71607509,Maharashtra
BSNL,Indoor,3G,4,Satisfactory,13.0252251,77.5680396,Karnataka
Airtel,Travelling,3G,4,Satisfactory,12.93774579,77.62529501,Karnataka
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Idea,Outdoor,4G,5,Satisfactory,17.3848921,78.47669899,Telangana
BSNL,Travelling,3G,5,Satisfactory,22.64313251,88.43863664,West Bengal
RJio,Indoor,4G,4,Satisfactory,15.60120853,77.26307186,Andhra Pradesh
BSNL,Indoor,3G,3,Satisfactory,28.9658509,77.7362897,Uttar Pradesh
Airtel,Indoor,2G,1,Poor Voice Quality,17.5464733,78.36338341,Telangana
Airtel,Outdoor,3G,1,Poor Voice Quality,17.6220354,83.1911914,Andhra Pradesh
Airtel,Indoor,4G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,2,Call Dropped,17.44861539,78.36345116,Telangana
RJio,Indoor,4G,5,Satisfactory,32.11144586,76.53135662,Himachal Pradesh
Airtel,Indoor,Unknown,3,Poor Voice Quality,19.4082904,72.8387402,Maharashtra
RJio,Indoor,4G,2,Poor Voice Quality,17.4733227,78.3856119,Telangana
Vodafone,Indoor,3G,4,Satisfactory,22.44230026,88.30136546,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.4733227,78.3856119,Telangana
Telenor,Indoor,3G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,2,Poor Voice Quality,12.7413876,77.7365037,Karnataka
RJio,Indoor,4G,3,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,8.486986253,76.95483531,Kerala
RJio,Indoor,4G,3,Satisfactory,8.486986253,76.95483531,Kerala
RJio,Indoor,4G,3,Satisfactory,8.478177879,76.97159903,Kerala
RJio,Indoor,4G,2,Poor Voice Quality,8.478188398,76.9713713,Kerala
Vodafone,Indoor,4G,1,Poor Voice Quality,28.60678,77.02384333,NCT
BSNL,Indoor,3G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,28.50858983,77.0834592,Haryana
Vodafone,Indoor,3G,3,Satisfactory,-1,-1,NA
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
RJio,Indoor,4G,1,Poor Voice Quality,22.7041358,75.9287231,Madhya Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,22.6983219,75.92348151,Madhya Pradesh
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,3G,4,Satisfactory,22.27988514,73.14964507,Gujarat
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
Airtel,Indoor,3G,3,Poor Voice Quality,22.27988514,73.14964507,Gujarat
Airtel,Outdoor,4G,1,Poor Voice Quality,23.5660603,87.2778422,West Bengal
BSNL,Indoor,2G,1,Poor Voice Quality,19.19779979,72.79778139,Maharashtra
Airtel,Indoor,3G,5,Satisfactory,30.64604333,76.68720333,Punjab
BSNL,Indoor,3G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,3G,4,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,3,Poor Voice Quality,29.6151267,78.34114938,Uttar Pradesh
BSNL,Indoor,Unknown,3,Poor Voice Quality,29.6151267,78.34114938,Uttar Pradesh
BSNL,Indoor,Unknown,4,Satisfactory,29.61514144,78.34109973,Uttar Pradesh
BSNL,Indoor,Unknown,4,Satisfactory,29.61511985,78.34108477,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,22.38224186,82.62168641,Chhattisgarh
Vodafone,Travelling,3G,4,Satisfactory,19.14446195,73.04395812,Maharashtra
Vodafone,Travelling,3G,2,Poor Voice Quality,19.14446195,73.04395812,Maharashtra
Vodafone,Indoor,3G,3,Poor Voice Quality,19.11130761,73.01537934,Maharashtra
Vodafone,Travelling,3G,2,Poor Voice Quality,19.12750902,72.88865351,Maharashtra
Vodafone,Travelling,3G,2,Poor Voice Quality,19.12750902,72.88865351,Maharashtra
RJio,Indoor,4G,5,Satisfactory,17.4244485,78.3473583,Telangana
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Airtel,Outdoor,4G,4,Satisfactory,11.2516036,77.2338693,Tamil Nadu
Tata,Indoor,Unknown,5,Satisfactory,12.96727328,77.54277221,Karnataka
Tata,Indoor,Unknown,5,Satisfactory,12.96727328,77.54277221,Karnataka
Vodafone,Indoor,3G,1,Poor Voice Quality,19.068837,72.8902435,Maharashtra
Airtel,Outdoor,Unknown,4,Satisfactory,22.56848196,88.34176471,West Bengal
Airtel,Outdoor,3G,4,Satisfactory,12.93774579,77.62529501,Karnataka
RJio,Travelling,4G,4,Satisfactory,20.94931535,75.51275099,Maharashtra
RJio,Indoor,4G,3,Poor Voice Quality,20.98047889,75.58144437,Maharashtra
Airtel,Indoor,3G,3,Call Dropped,14.43242995,79.99712359,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,28.5326416,77.2172456,NCT
RJio,Outdoor,4G,3,Poor Voice Quality,-1,-1,NA
Vodafone,Travelling,Unknown,1,Call Dropped,-1,-1,NA
Airtel,Travelling,4G,5,Satisfactory,22.82035928,87.37044235,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,3G,4,Satisfactory,17.30176445,78.54471472,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.4733227,78.3856119,Telangana
RJio,Outdoor,4G,4,Satisfactory,23.00107128,72.5886826,Gujarat
Airtel,Travelling,3G,1,Call Dropped,27.6072106,77.875156,Uttar Pradesh
Airtel,Outdoor,4G,2,Poor Voice Quality,17.30983034,78.53435685,Telangana
Airtel,Indoor,3G,1,Call Dropped,17.3024147,78.5328981,Telangana
Airtel,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,27.2090436,78.022526,Uttar Pradesh
Airtel,Outdoor,Unknown,1,Call Dropped,17.30759456,78.55458808,Telangana
Airtel,Outdoor,Unknown,4,Satisfactory,28.52238453,77.21654888,NCT
Idea,Indoor,Unknown,2,Poor Voice Quality,17.49170697,78.30830284,Telangana
BSNL,Indoor,Unknown,4,Satisfactory,29.61518663,78.3410767,Uttar Pradesh
RJio,Outdoor,4G,1,Poor Voice Quality,23.58434117,87.28150175,West Bengal
Airtel,Indoor,3G,3,Poor Voice Quality,0,0,NA
Airtel,Indoor,4G,1,Poor Voice Quality,17.00470304,81.76812929,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,29.69520376,77.00340454,Haryana
RJio,Indoor,4G,5,Satisfactory,29.68138372,77.01071629,Haryana
RJio,Indoor,4G,5,Satisfactory,29.68160324,77.01075681,Haryana
RJio,Indoor,4G,4,Satisfactory,27.04320333,76.57163167,Rajasthan
RJio,Indoor,4G,4,Satisfactory,25.2187009,84.9883597,Bihar
RJio,Indoor,4G,4,Satisfactory,19.15245151,72.99293923,Maharashtra
RJio,Indoor,4G,3,Satisfactory,26.73524948,88.40706322,West Bengal
BSNL,Travelling,2G,3,Poor Voice Quality,22.64263676,88.43965047,West Bengal
BSNL,Travelling,Unknown,5,Satisfactory,22.64263676,88.43965047,West Bengal
RJio,Outdoor,4G,5,Satisfactory,22.795093,86.2319418,Jharkhand
RJio,Indoor,4G,5,Satisfactory,20.2963132,85.8425592,Odisha
RJio,Outdoor,4G,3,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,3,Poor Voice Quality,13.09333732,77.55092199,Karnataka
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,28.5326378,77.2172523,NCT
RJio,Indoor,4G,5,Satisfactory,29.6813953,77.0107199,Haryana
BSNL,Travelling,3G,4,Satisfactory,20.30028293,85.86297028,Odisha
RJio,Travelling,Unknown,5,Satisfactory,18.54750141,73.77344906,Maharashtra
Idea,Outdoor,4G,5,Satisfactory,17.3848921,78.47669899,Telangana
RJio,Indoor,4G,5,Satisfactory,29.6813953,77.0107199,Haryana
Vodafone,Indoor,4G,5,Satisfactory,19.20697842,73.00221091,Maharashtra
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,Unknown,5,Satisfactory,13.05122548,77.53556697,Karnataka
Airtel,Indoor,Unknown,2,Poor Voice Quality,26.85470728,75.76669134,Rajasthan
Airtel,Indoor,Unknown,2,Poor Voice Quality,26.92479789,75.69617722,Rajasthan
Airtel,Indoor,Unknown,2,Poor Voice Quality,26.9041362,75.83593762,Rajasthan
